MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
48728;-0.108593;0.000240;0.194303;0.000240;-0.3994345;0.0000311;3.4134;0.0219;-0.110;0.186;-0.004;0.331;-.109500;.193200;-.3997000;-0.421;-0.457
48729;-0.110478;0.000241;0.196808;0.000233;-0.4027424;0.0000316;3.1891;0.0185;-0.160;0.197;0.155;0.349;-.111300;.195700;-.4029400;-0.374;-0.241
48730;-0.112396;0.000213;0.199248;0.000253;-0.4057962;0.0000199;2.9153;0.0178;-0.209;0.211;0.204;0.139;-.113100;.198100;-.4059300;-0.333;0.039
48731;-0.114303;0.000196;0.201617;0.000292;-0.4085756;0.0000166;2.6495;0.0128;-0.252;0.230;0.184;0.156;-.114800;.200500;-.4086600;-0.344;0.179
48732;-0.116154;0.000120;0.203908;0.000278;-0.4111119;0.0000161;2.4340;0.0106;-0.288;0.271;0.137;0.190;-.116500;.202800;-.4111700;-0.379;0.240
48733;-0.117907;0.000163;0.206121;0.000264;-0.4134665;0.0000133;2.2873;0.0106;-0.322;0.271;0.103;0.190;-.118100;.205200;-.4135300;-0.381;0.038
48734;-0.119532;0.000163;0.208304;0.000264;-0.4157167;0.0000137;2.2313;0.0098;-0.333;0.262;0.048;0.154;-.119700;.207600;-.4158200;-0.312;-0.191
48735;-0.121026;0.000164;0.210598;0.000278;-0.4179575;0.0000143;2.2606;0.0107;-0.309;0.262;-0.051;0.154;-.121300;.209900;-.4181000;-0.199;-0.304
48736;-0.122474;0.000174;0.212983;0.000288;-0.4202549;0.0000165;2.3410;0.0105;-0.257;0.224;-0.152;0.112;-.122800;.212300;-.4204300;-0.088;-0.368
48737;-0.123969;0.000206;0.215404;0.000249;-0.4226507;0.0000154;2.4551;0.0118;-0.183;0.201;-0.226;0.298;-.124300;.214700;-.4228500;-0.117;-0.285
48738;-0.125495;0.000273;0.217835;0.000244;-0.4251694;0.0000170;2.5820;0.0109;-0.115;0.222;-0.253;0.298;-.125900;.217100;-.4253900;-0.213;-0.294
48739;-0.127011;0.000275;0.220267;0.000249;-0.4278102;0.0000153;2.6954;0.0106;-0.082;0.271;-0.241;0.102;-.127400;.219400;-.4280300;-0.278;-0.435
48740;-0.128488;0.000278;0.222716;0.000292;-0.4305487;0.0000126;2.7743;0.0095;-0.096;0.284;-0.242;0.126;-.129000;.221800;-.4307400;-0.244;-0.623
48741;-0.129921;0.000284;0.225188;0.000283;-0.4333374;0.0000112;2.7891;0.0084;-0.126;0.253;-0.285;0.127;-.130500;.224100;-.4335000;-0.164;-0.654
48742;-0.131414;0.000284;0.227666;0.000283;-0.4361019;0.0000112;2.7290;0.0086;-0.085;0.253;-0.283;0.127;-.132100;.226500;-.4362300;-0.061;-0.723
48743;-0.133090;0.000324;0.230074;0.000304;-0.4387743;0.0000131;2.6056;0.0083;0.011;0.276;-0.203;0.155;-.133800;.228800;-.4388700;0.025;-0.710
48744;-0.135022;0.000302;0.232345;0.000382;-0.4412974;0.0000122;2.4352;0.0090;0.095;0.254;-0.081;0.151;-.135400;.231100;-.4413800;0.097;-0.861
48745;-0.137117;0.000289;0.234497;0.000262;-0.4436401;0.0000122;2.2509;0.0080;0.149;0.162;0.020;0.131;-.137200;.233300;-.4437200;0.088;-1.011
